QueryText,KccAns
SQLStatement.execute() - multiple queries in one statement,"<p>I've written a database generation script in <a href=""http://en.wikipedia.org/wiki/SQL"">SQL</a> and want to execute it in my <a href=""http://en.wikipedia.org/wiki/Adobe_Integrated_Runtime"">Adobe AI..."
Good branching and merging tutorials for TortoiseSVN?,"<p>Are there any really good tutorials explaining <a href=""http://svnbook.red-bean.com/en/1.8/svn.branchmerge.html"" rel=""nofollow"">branching and merging</a> with Apache Subversion? </p> <p>All the be..."
ASP.NET Site Maps,<p>Has anyone got experience creating <strong>SQL-based ASP.NET</strong> site-map providers?</p> <p>I've got the default XML file <code>web.sitemap</code> working properly with my Menu and <strong>Si...
Function for creating color wheels,"<p>This is something I've pseudo-solved many times and never quite found a solution. That's stuck with me. The problem is to come up with a way to generate <code>N</code> colors, that are as distingui..."
Adding scripting functionality to .NET applications,"<p>I have a little game written in C#. It uses a database as back-end. It's a <a href=""http://en.wikipedia.org/wiki/Collectible_card_game"">trading card game</a>, and I wanted to implement the functio..."
Should I use nested classes in this case?,"<p>I am working on a collection of classes used for video playback and recording. I have one main class which acts like the public interface, with methods like <code>play()</code>, <code>stop()</code>..."
Homegrown consumption of web services,"<p>I've been writing a few web services for a .net app, now I'm ready to consume them. I've seen numerous examples where there is homegrown code for consuming the service as opposed to using the auto ..."
Deploying SQL Server Databases from Test to Live,"<p>I wonder how you guys manage deployment of a database between 2 SQL Servers, specifically SQL Server 2005. Now, there is a development and a live one. As this should be part of a buildscript (stand..."
Automatically update version number,<p>I would like the version property of my application to be incremented for each build but I'm not sure on how to enable this functionality in Visual Studio (2005/2008). I have tried to specify the A...
Visual Studio Setup Project - Per User Registry Settings,"<p>I'm trying to maintain a Setup Project in <code>Visual Studio 2003</code> (yes, it's a legacy application). The problem we have at the moment is that we need to write registry entries to <code>HKCU..."
How do I connect to a database and loop over a recordset in C#?,<p>What's the simplest way to connect and query a database for a set of records in C#?</p>
"How to get the value of built, encoded ViewState?","<p>I need to grab the base64-encoded representation of the ViewState. Obviously this would not be available until fairly late in the request lifecycle, which is OK.</p> <p>For example, if the output ..."
How do I delete a file which is locked by another process in C#?,"<p>I'm looking for a way to delete a file which is locked by another process using C#. I suspect the method must be able to find which process is locking the file (perhaps by tracking the handles, alt..."
Process size on UNIX,"<p>What is the correct way to get the process size on <code>Solaris, HP-UX</code> and <code>AIX</code>? Should we use <code>top</code> or <code>ps -o vsz</code> or something else?</p>"
Use SVN Revision to label build in CCNET,<p>I am using CCNET on a sample project with SVN as my source control. CCNET is configured to create a build on every check in. CCNET uses MSBuild to build the source code.</p> <p>I would like to u...
How to make subdomain user accounts in a webapp,"<p>I am looking to allow users to control of subdomain of an app I am toying with, much like Basecamp where it is <code>customusername.seework.com</code>.</p> <p>What is required on the <code>DNS</co..."
Is nAnt still supported and suitable for .net 3.5/VS2008?,"<p>I am using MSBuild to build my stuff. I want to use CruiseControl.net as by Build Server.</p> <p>Now, CCNET refers nAnt a lot, but it looks as if ccnet can do most of the stuff nant could do thr..."
"Is Windows Server 2008 ""Server Core"" appropriate for a SQL Server instance?","<p>I'm setting up a dedicated SQL Server 2005 box on Windows Server 2008 this week, and would like to pare it down to be as barebones as possible while still being fully functional.</p> <p>To that en..."
What is the best way to copy a database?,"<p>I always create a new empty database, after that backup and restore of the existing database into it, but is this really the best way? As it seems very error prone and over complicated for me.</p>"
Can I logically reorder columns in a table?,"<p>If I'm adding a column to a table in Microsoft SQL Server, can I control where the column is displayed logically in queries?</p> <p>I don't want to mess with the physical layout of columns on disk..."
.NET Unit Testing packages?,"<p>Getting back into a bit more .NET after a few-years of not using it full-time, and wondering what the good unit testing packages are these days.</p> <p>I'm familiar with NUnit (a few years ago), a..."
Federated (Synced) Subversion servers?,"<p>Is it possible to create ""federated"" Subversion servers? As in one server at location A and another at location B that sync up their local versions of the repository automatically. That way when ..."
